frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
151,3.9064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
152,3.9307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
153,3.9553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
154,3.9806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
155,4.0064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
156,4.0314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
157,4.0559,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
158,4.0859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
159,4.1161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
160,4.1409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
161,4.1703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
162,4.1951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
163,4.2204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
164,4.2456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
165,4.2709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
166,4.2955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
167,4.3206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
168,4.3497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
169,4.3743,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
170,4.3991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
171,4.4244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
172,4.4491,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
173,4.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
174,4.5035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
175,4.5288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
176,4.5538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
177,4.5824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
178,4.6073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
179,4.6326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
180,4.6574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
181,4.6820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
182,4.7067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
183,4.7354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
184,4.7603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
185,4.7860,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
186,4.8146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
187,4.8440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
188,4.8733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
189,4.9031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190,4.9287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
191,4.9541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
192,4.9795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
193,5.0045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
194,5.0304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
195,5.0558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
196,5.0804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
197,5.1050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
198,5.1296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
199,5.1549,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
200,5.1802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
201,5.2091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
202,5.2394,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
203,5.2639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
204,5.2933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
205,5.3184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
206,5.3471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
207,5.3730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
208,5.4023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
209,5.4274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
210,5.4529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
211,5.4799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
212,5.5053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
213,5.5300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
214,5.5550,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
215,5.5803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
216,5.6057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
217,5.6310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
218,5.6598,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
219,5.6855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
220,5.7102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
221,5.7391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
222,5.7647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
223,5.7902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
224,5.8150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
225,5.8396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
226,5.8651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
227,5.8907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
228,5.9164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
229,5.9418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
230,5.9668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
231,5.9921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
232,6.0215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
233,6.0469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
234,6.0722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
235,6.0978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
236,6.1227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
237,6.1475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
238,6.1731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
239,6.1987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
240,6.2242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
241,6.2490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
