frame,wall_time,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
663,1786065119.9685,13.8291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
664,1786065119.9971,13.8577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
665,1786065120.0098,13.8704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
666,1786065120.0384,13.8990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
667,1786065120.0557,13.9162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
668,1786065120.0788,13.9394,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
669,1786065120.0986,13.9592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
670,1786065120.1181,13.9787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
671,1786065120.1346,13.9952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
672,1786065120.1617,14.0223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
673,1786065120.1837,14.0443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
674,1786065120.2029,14.0634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
675,1786065120.2243,14.0849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
676,1786065120.2378,14.0984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
677,1786065120.2689,14.1294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
678,1786065120.2847,14.1453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
679,1786065120.3020,14.1626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
680,1786065120.3235,14.1841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
681,1786065120.3430,14.2036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
682,1786065120.3664,14.2270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
683,1786065120.3835,14.2441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
684,1786065120.4220,14.2825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
685,1786065120.4330,14.2936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
686,1786065120.4508,14.3113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
687,1786065120.4744,14.3350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
688,1786065120.4952,14.3558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
689,1786065120.5129,14.3735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
